set_num,name,rrp_eur,lego_url,retailer_urls,ebay_price_eur,ebay_sold
60470,LEGO® City 60470 Arktis-Polarexpress NEU OVP,,,,164.99,0
80119,LEGO® 80119 Leinwand mit Galoppierenden Pferden EXKLUSIV!,,,,99.74,0
21360,LEGO® Ideas 21360 Willy Wonka und die Schokoladenfabrik EXKLUSIV!,,,,194.37,0
43279,LEGO® Disney 43279 WALL-E und EVE NEU,,,,56.05,0
76458,LEGO® Harry Potter 76458 Thestralfamilie EXKLUSIV,,,,64.39,0
11376,LEGO® Icons 11376 Ford Model T NEU OVP EXKLUSIV!,,,,109.25,0
43269,LEGO® Disney 43269 Welpe aus 101 Dalmatiner NEU OVP,,,,113.99,0
75381,LEGO® Star Wars 75381 Droideka NEU OVP,,,,55.79,0
43305,LEGO® Disney 43305 Ferkels Geburtstagsspaß EXKLUSIV!,,,,43.19,0
10362,LEGO® Icons 10362 Französisches Café NEU OVP!,,,,60.48,0
40891,LEGO® Promotional 40891 Stranger Things: WSQK Radio Station,,,,91.99,0
75427,LEGO® Star Wars 75427 SMART Play: A-Wing und Duell im Thronsaal,,,,153.59,0
40518,LEGO® Creator 40518 Hochgeschwindigkeitszug EXKLUSIV NEU OVP,,,,32.89,0
10367,LEGO® Icons 10367 Herr der Ringe: Gandalf vs. Balrog,,,,100.80,0
40879,LEGO® BrickHeadz 40879 Elfi Max Demogorgon Holly Figuren,,,,44.99,0
31171,LEGO® Creator 31171 Wilde Tiere: Prächtiges Nashorn mit Vögeln,,,,64.99,0
76321,LEGO® Super Heroes 76321 Spider-Man vs. Doc Ock: Showdown U-Bahn,,,,49.99,0
40797,LEGO® BrickHeadz 40797 I-Aah,,,,15.97,0
43232,LEGO® Disney 43232 Peter Pans & Wendys Flug über London NEU OVP,,,,62.39,0
40658,LEGO® Star Wars 40658 Millennium Falcon Weihnachtsdiorama,,,,33.59,0
40861,"LEGO® BrickHeadz 40861 Sulley, Mike und Boo Figuren EXKLUSIV!",,,,29.99,0
40803,LEGO® BrickHeadz 40803 Optimus Prime Mech & Fahrzeug,,,,23.24,0
43019,LEGO® 43019 Fußball NEU OVP!,,,,99.00,0
43307,LEGO® Disney 43307 Alien mit Pizza Planet Raketenfahrt EXKLUSIV!,,,,59.79,0
40923,"BrickHeadz 40923 Shrek, Donkey und Gingy",,,,43.19,0
76450,Harry Potter 76450 Buchstütze: Hogwarts Express,,,,76.79,0
40856,BrickHeadz 40856 The Mandalorian and Grogu,,,,44.99,0
75425,Star Wars 75425 SMART Play: Mos Eisley Cantina,,,,73.59,0
40775,Promotional 40775 Mini-Ritterburg,,,,24.96,0
40924,BrickHeadz 40924 Megatron,,,,28.79,0
40776,Promotional 40776 Weihnachtsmarktstand,,,,24.99,0
80056,Monkie Kid 80056 Neunköpfige Bestie,,,,84.99,0
75389,Star Wars 75389 Dunkler Millennium Falke,,,,152.64,0
40677,BrickHeadz 40677 Harry Potter Gefangene von Askaban,,,,47.49,0
71866,Ninjago 71866 15-Jubiläum Ninja-Charaktere,,,,37.19,0
76317,Super Heroes 76317 Peter Parkers Wohnung,,,,56.64,0
40748,BrickHeadz 40748 Batman 8-in-1,,,,28.49,0
30434,Creator 30434 Aston Martin Valkyrie 30er BOX,,,,110.40,0
60500,City 60500 Der LEGO Lieferwagen,,,,29.99,0
21063,Architecture 21063 Schloss Neuschwanstein,,,,224.63,0
75376,Star Wars 75376 Tantive IV,,,,75.00,0
42156,Technic 42156 PEUGEOT 9X8 Le Mans Hypercar,,,,189.99,0
75426,Star Wars 75426 SMART Play: Millennium Falke,,,,91.99,0
76330,Super Heroes 76330 Batman Logo,,,,66.74,0
11372,Icons 11372 Herbstlicher Landhausgarten,,,,109.99,0
76976,Jurassic World 76976 Spinosaurier & Quetzalcoatlus,,,,139.99,0
10342,Icons 10342 Rosafarbener Blumenstrauß,,,,57.59,0
21064,Architecture 21064 Paris - Stadt der Liebe,,,,69.99,0
30701,Icons 30701 Feldblumen 30er Box,,,,99.99,0
76973,Jurassic World 76973 Raptor & Titanosaurus,,,,86.39,0
72037,Super Mario 72037 Mario Kart: Mario & Standard-Kart,,,,148.80,0
40954,Creator 40954 Postkarte aus Deutschland,,,,24.99,0
43033,Editions 43033 Trikot US-Fußballnationalmannschaft 2026,,,,27.59,0
60423,City 60423 Straßenbahn mit Haltestelle,,,,75.00,0
40765,Star Wars 40765 Ausbildungszentrum auf Kamino,,,,45.00,0
21281,Minecraft 21281 Geburtstagsfeier des Babyschweins EOL,,,,38.39,0
40721,40721 Halloween-Scheune,,,,19.99,0
40426,Seasonal 40426 Türkranz / Adventskranz 2in1,,,,53.34,0
40881,BrickHeadz 40881 Vorratslama und Fischstäbchen,,,,27.59,0
75444,Star Wars 75444 Angriff des AT-RT,,,,49.99,0
40674,BrickHeadz 40674 Stitch,,,,19.99,0
75423,Star Wars 75423 SMART Play: Lukes Rot Fünf X-Wing,,,,83.69,0
10353,Icons 10353 Williams Racing FW14B Nigel Mansell,,,,79.99,0
75382,Star Wars 75382 TIE-Abfangjäger,,,,239.99,0
11508,Icons 11508 Gänseblümchen,,,,19.39,0
11504,Icons 11504 Friedenslilie,,,,59.99,0
5007905,5007905 Harry Potter Schlüsselleuchte,,,,19.99,0
21226,Art 21226 Gemeinsames Kunstprojekt,,,,109.99,0
