set_num,name,ebay_list_eur,ebay_coupon_eur,ebay_best_eur,ebay_sold,ebay_url
76449,LEGO® Harry Potter 76449 Beißendes Monsterbuch der Monster,52.0,48.88,48.88,48,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76449
76251,LEGO® Super Heroes 76251 Star-Lords Helm NEU EXKLUSIV!,89.99,86.39,86.39,45,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76251
60494,LEGO® City 60494 Kipplaster und Schaufellader,91.0,83.72,83.72,42,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=60494
75397,LEGO® Star Wars 75397 Jabbas Segelbarke EXKLUSIV!,449.99,413.99,413.99,41,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75397
75429,LEGO® Star Wars 75429 AT-AT Pilot Helm EXKLUSIV!,89.0,81.88,81.88,41,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75429
10314,Icons 10314 Trockenblumengesteck,59.99,,59.99,41,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10314
10363,Icons 10363 Leonardo da Vincis Fluggerät,55.0,,55.0,39,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10363
76919,Speed Champions 76919 McLaren Formel-1 2023,26.99,,26.99,37,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76919
40926,LEGO® Gaming 40926 SEGA Mega Drive Spielkonsole EXKLUSIV!,44.99,41.84,41.84,36,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40926
42129,LEGO® Technic 42129 4x4 Mercedes-Benz Zetros Offroad-Truck,249.99,232.49,232.49,35,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=42129
21365,LEGO® Ideas 21365 Turteltauben EXKLUSIV,55.0,49.5,49.5,34,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21365
71434,Super Mario 71434 Limonadendschungel-Design-Set,54.99,,54.99,34,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71434
11374,LEGO® Icons 11374 Flipperautomat NEU OVP EXKLUSIV!,215.0,202.1,202.1,32,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=11374
80113,LEGO® 80113 Familientreffen NEU OVP EXKLUSIV,136.99,127.4,127.4,32,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=80113
11389,LEGO® Icons 11389 Der Astronaut EXKLUSIV!,109.99,105.59,105.59,31,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=11389
21366,Ideas 21366 Schwimmende Otter,89.0,,89.0,31,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21366
77255,Speed Champions 77255 Lightning McQueen,27.99,,27.99,31,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=77255
75573,LEGO® Avatar 75573 Schwebende Berge: Site 26 und RDA Samson NEU OVP!,79.99,,79.99,30,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75573
40634,LEGO® 40634 Ikonen NEU OVP EXKLUSIV!,149.99,,149.99,27,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40634
75428,LEGO® Star Wars 75428 Kampfdroide mit STAP EXKLUSIV!,129.99,123.49,123.49,26,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75428
42136,LEGO® Technic 42136 John Deere 9620R 4WD Tractor NEU OVP,44.0,42.24,42.24,25,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=42136
76965,LEGO® Jurassic World 76965 Dino-Missionen: Stegosaurus,59.99,,59.99,24,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76965
75379,Star Wars 75379 R2-D2,88.88,,88.88,22,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75379
75417,LEGO® Star Wars 75417 AT-ST Kampfläufer NEU OVP,160.0,148.8,148.8,21,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75417
75192,LEGO® Star Wars 75192 Millennium Falcon UCS NEU OVP!,799.0,,799.0,20,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75192
40810,LEGO® Promotional 40810 LEGOLAND Park Portal EXKLUSIV!,34.99,33.24,33.24,19,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40810
77253,Speed Champions 77253 Bugatti Vision GT,27.99,,27.99,17,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=77253
11505,LEGO® Botanicals 11505 Waldpilze NEU OVP!,69.0,66.24,66.24,15,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=11505
43010,LEGO® 43010 Nike Slam Dunk EXKLUSIV,63.99,62.07,62.07,15,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=43010
31393,LEGO® Creator 31393 Waldtiere: Wolf EXKLUSIV!,55.0,52.8,52.8,11,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=31393
42141,LEGO® Technic 42141 McLaren Formel 1 Rennwagen,169.0,,169.0,11,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=42141
75636,One Piece 75636 Hütte im Windmühlendorf,29.99,,29.99,11,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75636
75640,One Piece 75640 Baratié Schwimmendes Restaurant,269.99,259.19,259.19,9,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75640
42215,Technic 42215 Volvo EC500 Hybrid Bagger,333.0,319.68,319.68,9,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=42215
